code_pref_muni,name_pref,name_muni,MLIT,離島等相当サービス,Law,独立離島
1367,北海道,奥尻町,,離島等相当サービス,離島振興法,独立離島
1484,北海道,羽幌町,,,離島振興法,
1517,北海道,礼文町,No,,離島振興法,独立離島
1518,北海道,利尻町,,,離島振興法,独立離島
1519,北海道,利尻富士町,,,離島振興法,独立離島
1662,北海道,厚岸町,No,,離島振興法,
4202,宮城県,石巻市,,,離島振興法,
4203,宮城県,塩竈市,No,,離島振興法,
4205,宮城県,気仙沼市,No,,離島振興法,
4581,宮城県,女川町,No,,離島振興法,
6204,山形県,酒田市,,離島等相当サービス,離島振興法,
13361,東京都,大島町,No,,離島振興法,独立離島
13362,東京都,利島村,No,離島等相当サービス,離島振興法,独立離島
13363,東京都,新島村,,,離島振興法,独立離島
13364,東京都,神津島村,,,離島振興法,独立離島
13381,東京都,三宅村,,,離島振興法,独立離島
13382,東京都,御蔵島村,No,,離島振興法,独立離島
13401,東京都,八丈町,No,,離島振興法,独立離島
13402,東京都,青ヶ島村,No,,離島振興法,独立離島
13421,東京都,小笠原村,No,離島等相当サービス,小笠原法,独立離島
15224,新潟県,佐渡市,No,,離島振興法,独立離島
15586,新潟県,粟島浦村,No,,離島振興法,独立離島
17204,石川県,輪島市,,,離島振興法,
22205,静岡県,熱海市,No,,離島振興法,
23213,愛知県,西尾市,,,離島振興法,
23445,愛知県,南知多町,,,離島振興法,
24211,三重県,鳥羽市,,,離島振興法,
24215,三重県,志摩市,,,離島振興法,
28201,兵庫県,姫路市,No,,離島振興法,
28226,兵庫県,淡路市,,,離島振興法,独立離島
28224,兵庫県,南あわじ市,,,離島振興法,独立離島
28205,兵庫県,洲本市,,,離島振興法,独立離島
32525,島根県,海士町,No,,離島振興法,独立離島
32526,島根県,西ノ島町,No,,離島振興法,独立離島
32527,島根県,知夫村,No,,離島振興法,独立離島
32528,島根県,隠岐の島町,No,,離島振興法,独立離島
33103,岡山県,東区,No,,離島振興法,
33202,岡山県,倉敷市,No,,離島振興法,
33204,岡山県,玉野市,No,,離島振興法,
33205,岡山県,笠岡市,No,,離島振興法,
33211,岡山県,備前市,No,,離島振興法,
33212,岡山県,瀬戸内市,No,,離島振興法,
34103,広島県,南区,No,,離島振興法,
34202,広島県,呉市,No,,離島振興法,
34204,広島県,三原市,No,,離島振興法,
34205,広島県,尾道市,No,,離島振興法,
34207,広島県,福山市,No,,離島振興法,
34211,広島県,大竹市,No,,離島振興法,
34431,広島県,大崎上島町,,,離島振興法,独立離島
35201,山口県,下関市,No,,離島振興法,
35204,山口県,萩市,,離島等相当サービス,離島振興法,
35206,山口県,防府市,No,,離島振興法,
35208,山口県,岩国市,No,離島等相当サービス,離島振興法,
35210,山口県,光市,No,,離島振興法,
35212,山口県,柳井市,No,,離島振興法,
35215,山口県,周南市,No,,離島振興法,
35305,山口県,周防大島町,No,,離島振興法,独立離島
35341,山口県,上関町,No,,離島振興法,
35343,山口県,田布施町,No,,離島振興法,
35344,山口県,平生町,No,,離島振興法,
36204,徳島県,阿南市,No,,離島振興法,
36383,徳島県,牟岐町,No,,離島振興法,
37201,香川県,高松市,,離島等相当サービス,離島振興法,
37202,香川県,丸亀市,No,,離島振興法,
37203,香川県,坂出市,No,,離島振興法,
37205,香川県,観音寺市,No,,離島振興法,
37208,香川県,三豊市,No,,離島振興法,
37322,香川県,土庄町,,,離島振興法,独立離島
37324,香川県,小豆島町,No,,離島振興法,独立離島
37364,香川県,直島町,No,,離島振興法,独立離島
37404,香川県,多度津町,No,,離島振興法,
38201,愛媛県,松山市,,,離島振興法,
38202,愛媛県,今治市,No,,離島振興法,
38203,愛媛県,宇和島市,,,離島振興法,
38204,愛媛県,八幡浜市,No,,離島振興法,
38205,愛媛県,新居浜市,No,,離島振興法,
38207,愛媛県,大洲市,No,,離島振興法,
38356,愛媛県,上島町,No,,離島振興法,独立離島
39208,高知県,宿毛市,No,,離島振興法,
40106,福岡県,小倉北区,No,,離島振興法,
40135,福岡県,西区,No,,離島振興法,
40220,福岡県,宗像市,No,,離島振興法,
40230,福岡県,糸島市,No,,離島振興法,
40345,福岡県,新宮町,,,離島振興法,
41202,佐賀県,唐津市,No,,離島振興法,
42201,長崎県,長崎市,No,離島等相当サービス,離島振興法,
42202,長崎県,佐世保市,No,,離島振興法,
42207,長崎県,平戸市,,離島等相当サービス,離島振興法,
42208,長崎県,松浦市,,,離島振興法,
42209,長崎県,対馬市,,,離島振興法,独立離島
42210,長崎県,壱岐市,,,離島振興法,独立離島
42211,長崎県,五島市,,離島等相当サービス,離島振興法,独立離島
42212,長崎県,西海市,No,離島等相当サービス,離島振興法,
42383,長崎県,小値賀町,,,離島振興法,独立離島
42411,長崎県,新上五島町,,,離島振興法,独立離島
43212,熊本県,上天草市,No,,離島振興法,独立離島
43215,熊本県,天草市,,離島等相当サービス,離島振興法,独立離島
43531,熊本県,苓北町,,,離島振興法,独立離島
44205,大分県,佐伯市,No,,離島振興法,
44207,大分県,津久見市,No,,離島振興法,
44322,大分県,姫島村,No,,離島振興法,独立離島
45203,宮崎県,延岡市,No,,離島振興法,
45204,宮崎県,日南市,No,,離島振興法,
45207,宮崎県,串間市,No,,離島振興法,
46000,鹿児島県,与論村,No,,,
46201,鹿児島県,鹿児島市,No,,,
46208,鹿児島県,出水市,No,,,
46213,鹿児島県,西之表市,,,,独立離島
46215,鹿児島県,薩摩川内市,,,,
46222,鹿児島県,奄美市,,,,独立離島
46303,鹿児島県,三島村,,,,独立離島
46304,鹿児島県,十島村,,離島等相当サービス,,独立離島
46404,鹿児島県,長島町,,,,独立離島
46501,鹿児島県,中種子町,,,,独立離島
46502,鹿児島県,南種子町,,離島等相当サービス,,独立離島
46505,鹿児島県,屋久島町,,,,独立離島
46523,鹿児島県,大和村,,,,独立離島
46524,鹿児島県,宇検村,,,,独立離島
46525,鹿児島県,瀬戸内町 ,,,,独立離島
46526,鹿児島県,住用村,,,,独立離島
46527,鹿児島県,龍郷村,,,,独立離島
46529,鹿児島県,喜界町,,,,独立離島
46530,鹿児島県,徳之島町,,,,独立離島
46531,鹿児島県,天城町,,,,独立離島
46532,鹿児島県,伊仙町,,,,独立離島
46533,鹿児島県,和泊町,,,,独立離島
46534,鹿児島県,知名町,,,,独立離島
46535,鹿児島県,与論島,,,,独立離島
47207,沖縄県,石垣市,,離島等相当サービス,,独立離島
47213,沖縄県,うるま市,,,,
47214,沖縄県,宮古島市,,離島等相当サービス,,独立離島
47215,沖縄県,南城市,,離島等相当サービス,,
47308,沖縄県,本部町,,離島等相当サービス,,独立離島
47315,沖縄県,伊江村,,離島等相当サービス,,独立離島
47353,沖縄県,渡嘉敷村,,離島等相当サービス,,独立離島
47354,沖縄県,座間味村,,離島等相当サービス,,独立離島
47355,沖縄県,粟国村,,離島等相当サービス,,独立離島
47356,沖縄県,渡名喜村,,離島等相当サービス,,独立離島
47357,沖縄県,南大東村,,離島等相当サービス,,独立離島
47358,沖縄県,北大東村,,離島等相当サービス,,
47359,沖縄県,伊平屋村,,離島等相当サービス,,独立離島
47360,沖縄県,伊是名村,,離島等相当サービス,,独立離島
47361,沖縄県,久米島町,,離島等相当サービス,,独立離島
47375,沖縄県,多良間村,,離島等相当サービス,,独立離島
47381,沖縄県,竹富町,,離島等相当サービス,,
47382,沖縄県,与那国町,,離島等相当サービス,,独立離島
